Date,Price,Open,High,Low
9-Jun-17,48.15,47.79,48.56,47.4
8-Jun-17,47.86,48.26,48.6,47.56
7-Jun-17,48.06,49.97,50.14,47.96
6-Jun-17,50.12,49.57,50.3,49
5-Jun-17,49.47,49.87,50.74,49.04
2-Jun-17,49.95,50.23,50.52,48.95
1-Jun-17,50.63,51.17,51.45,50.23
31-May-17,50.31,51.92,51.92,49.81
30-May-17,51.84,52.25,52.35,51.19
29-May-17,52.29,52.24,52.61,51.86
26-May-17,52.15,51.38,52.3,50.71
25-May-17,51.46,54.15,54.67,51.03
24-May-17,53.96,54.14,54.62,53.66
23-May-17,54.15,53.87,54.43,53.2
22-May-17,53.87,53.85,54.37,53.66
19-May-17,53.61,52.57,53.82,52.55
18-May-17,52.51,52.19,52.74,51.11
17-May-17,52.21,51.2,52.61,51.04
16-May-17,51.65,51.88,52.36,51.1
15-May-17,51.82,50.89,52.63,50.74
12-May-17,50.84,50.76,51.09,50.33
11-May-17,50.77,50.28,51.16,50.25
10-May-17,50.22,48.95,50.63,48.81
9-May-17,48.73,49.44,49.72,48.39
8-May-17,49.34,49.27,49.92,48.48
5-May-17,49.1,48.45,49.63,46.64
4-May-17,48.38,50.59,50.73,48.16
3-May-17,50.79,50.99,51.14,50.2
2-May-17,50.46,51.39,52.16,50.14
1-May-17,51.52,51.88,51.97,51.22
28-Apr-17,51.73,51.58,52.12,51.31
27-Apr-17,51.44,51.57,51.76,50.45
26-Apr-17,51.82,51.81,52.46,51.38
25-Apr-17,52.1,51.6,52.39,51.3
24-Apr-17,51.6,52.11,52.57,51.42
21-Apr-17,51.96,53,53.29,51.57
20-Apr-17,52.99,53.09,53.55,52.68
19-Apr-17,52.93,54.78,55.2,52.58
18-Apr-17,54.89,55.39,55.48,54.61
17-Apr-17,55.36,55.55,55.98,55.29
13-Apr-17,55.89,55.66,56.06,55.56
12-Apr-17,55.86,56.28,56.65,55.5
11-Apr-17,56.23,56.08,56.3,55.45
10-Apr-17,55.98,55.19,56.05,55.19
7-Apr-17,55.24,54.88,56.08,54.57
6-Apr-17,54.89,54.13,55,54.02
5-Apr-17,54.36,54.22,55.09,53.97
4-Apr-17,54.17,53.18,54.38,52.73
